"","location","date","High Temp","Low Temp","Day Average Temp","Precipitation","Dew Point","High","Low","Average","Max Wind Speed","Visibiilty","Sea Level Pressure","Actual Time"
"X2...36","ca/san-diego/KSAN","2019-12-01","66","49","57.71","0.00","43.42","48","37","43.42","8","10","30.12","10h 9m"
"X2...37","ca/san-diego/KSAN","2019-12-02","69","51","58.71","0.00","49.75","56","44","49.75","7","10","30.14","10h 8m"
"X2...38","ca/san-diego/KSAN","2019-12-03","68","54","61.38","0.00","53.83","60","50","53.83","10","10","30.09","10h 7m"
"X2...39","ca/san-diego/KSAN","2019-12-04","65","61","62.48","0.06","60.55","63","59","60.55","14","10","30.04","10h 6m"
"X2...40","ca/san-diego/KSAN","2019-12-05","68","53","60.44","1.13","56.24","59","53","56.24","9","10","30.14","10h 6m"
"X2...41","ca/san-diego/KSAN","2019-12-06","71","56","62.54","0.00","54.92","61","47","54.92","9","10","30.13","10h 5m"
"X2...42","ca/san-diego/KSAN","2019-12-07","66","63","64.52","0.02","61","63","59","61","7","10","30.17","10h 4m"
"X2...43","ca/san-diego/KSAN","2019-12-08","66","61","63.15","0.13","60.65","63","56","60.65","8","10","30.09","10h 3m"
"X2...44","ca/san-diego/KSAN","2019-12-09","66","54","60.19","0.06","54.78","57","51","54.78","10","10","30.14","10h 3m"
"X2...45","ca/san-diego/KSAN","2019-12-10","70","50","58.72","0.00","52.12","57","46","52.12","8","10","30.22","10h 2m"
"X2...46","ca/san-diego/KSAN","2019-12-11","66","50","58.3","0.00","53.78","58","47","53.78","12","10","30.21","10h 2m"
"X2...47","ca/san-diego/KSAN","2019-12-12","68","53","58.93","0.00","54.27","59","51","54.27","12","10","30.23","10h 1m"
"X2...48","ca/san-diego/KSAN","2019-12-13","67","53","58.74","0.00","55.89","60","52","55.89","8","10","30.15","10h 1m"
"X2...49","ca/san-diego/KSAN","2019-12-14","67","60","62.64","0.00","55.96","59","52","55.96","12","10","30.02","10h 0m"
"X2...50","ca/san-diego/KSAN","2019-12-15","65","53","60.18","0.00","46.75","54","39","46.75","15","10","30.1","10h 0m"
"X2...51","ca/san-diego/KSAN","2019-12-16","69","45","57.04","0.00","32.58","44","17","32.58","9","10","30.23","10h 0m"
"X2...52","ca/san-diego/KSAN","2020-10-27","76","51","63.92","0.00","30.92","50","17","30.92","10","10","30.08","10h 59m"
"X2...53","ca/san-diego/KSAN","2020-10-28","75","54","64.75","0.00","41.38","56","22","41.38","9","10","30.09","10h 57m"
"X2...54","ca/san-diego/KSAN","2020-10-29","76","53","65.54","0.00","50","60","39","50","10","10","30.04","10h 56m"
"X2...55","ca/san-diego/KSAN","2020-10-30","77","54","65.5","0.00","53.73","62","44","53.73","9","10","30.01","10h 54m"
"X2...56","ca/san-diego/KSAN","2020-10-31","77","56","63.76","0.00","55.24","61","42","55.24","9","10","30.05","10h 52m"
"X2...57","ca/san-diego/KSAN","2020-11-01","82","59","67.54","0.00","51.88","61","40","51.88","12","10","30.11","10h 50m"
"X2...58","ca/san-diego/KSAN","2020-11-02","76","59","64.9","0.00","58.03","62","52","58.03","9","10","30.1","10h 49m"
"X2...59","ca/san-diego/KSAN","2020-11-03","73","62","65.88","0.00","59.05","61","57","59.05","8","10","30.06","10h 47m"
"X2...60","ca/san-diego/KSAN","2020-11-04","75","60","64.88","0.00","58.17","61","55","58.17","14","10","30.1","10h 45m"
"X2...61","ca/san-diego/KSAN","2020-11-05","88","59","71.33","0.00","51.71","65","41","51.71","8","10","30.02","10h 43m"
"X2...62","ca/san-diego/KSAN","2020-11-06","71","63","67.34","0.00","59.36","64","46","59.36","21","10","29.78","10h 42m"
"X2...63","ca/san-diego/KSAN","2020-11-07","66","59","62.78","0.00","47.28","52","43","47.28","22","10","29.82","10h 40m"
"X2...64","ca/san-diego/KSAN","2020-11-09","64","52","57.58","0.14","40.5","43","36","40.5","10","10","30.16","10h 37m"
"X2...65","ca/san-diego/KSAN","2020-11-10","67","47","57.08","0.00","39.63","44","32","39.63","13","10","30.17","10h 35m"
"X2...66","ca/san-diego/KSAN","2020-11-11","68","47","57.71","0.00","41.67","49","33","41.67","10","10","30.06","10h 34m"
"X2...67","ca/san-diego/KSAN","2020-11-12","68","49","58.58","0.00","44.83","53","37","44.83","10","10","30.08","10h 32m"
"X2...68","ca/san-diego/KSAN","2020-11-13","68","50","59.7","0.00","49.33","53","43","49.33","10","10","30.14","10h 31m"
"X2...69","ca/san-diego/KSAN","2020-11-14","69","57","62.31","0.00","50.66","54","48","50.66","12","10","30.13","10h 29m"
"X2...70","ca/san-diego/KSAN","2020-11-15","78","52","65.12","0.00","41.76","49","36","41.76","9","10","30.12","10h 28m"
"X2...71","ca/san-diego/KSAN","2020-11-16","89","55","66.72","0.00","43.68","55","26","43.68","13","10","30.02","10h 26m"
"X2...72","ca/san-diego/KSAN","2020-11-17","78","53","63.52","0.00","48.55","58","30","48.55","8","10","30.09","10h 25m"
"X2...73","ca/san-diego/KSAN","2020-11-18","67","58","61.91","0.00","52.65","54","52","52.65","10","10","30.13","10h 23m"
"X2...74","ca/san-diego/KSAN","2020-11-19","68","56","60.94","0.00","53.52","55","51","53.52","12","10","30.14","10h 22m"
"X2...75","ca/san-diego/KSAN","2020-11-20","71","54","59.06","0.00","52.2","56","50","52.2","12","10","30.12","10h 21m"
"X2...76","ca/san-diego/KSAN","2020-11-21","68","53","58.27","0.00","52.44","56","49","52.44","9","10","30.1","10h 19m"
"X2...77","ca/san-diego/KSAN","2020-11-22","69","53","58.21","0.00","53.77","57","48","53.77","7","10","30","10h 18m"
"X2...78","ca/san-diego/KSAN","2020-11-23","65","56","60.77","0.00","52.72","56","50","52.72","9","10","29.97","10h 17m"
"X2...79","ca/san-diego/KSAN","2020-11-24","67","55","60.8","0.00","48.92","52","45","48.92","8","10","30.08","10h 16m"
"X2...80","ca/san-diego/KSAN","2020-11-25","67","53","60.28","0.00","50.97","53","47","50.97","10","10","30.12","10h 15m"
"X2...81","ca/san-diego/KSAN","2020-11-26","66","53","59.7","0.00","49.74","51","47","49.74","9","10","30.08","10h 13m"
"X2...82","ca/san-diego/KSAN","2020-11-27","69","44","56.88","0.00","34.54","46","14","34.54","9","10","30.17","10h 12m"
"X2...83","ca/san-diego/KSAN","2020-11-28","73","44","57.5","0.00","27.67","37","13","27.67","10","10","30.18","10h 11m"
"X2...84","ca/san-diego/KSAN","2020-11-29","73","45","57","0.00","31.92","47","17","31.92","12","10","30.13","10h 10m"
"X2...85","ca/san-diego/KSAN","2020-11-30","75","49","58.28","0.00","37.48","50","27","37.48","13","10","30.15","10h 9m"
"X2...86","ca/san-diego/KSAN","2020-12-01","72","45","58.58","0.00","35.29","48","22","35.29","7","10","30.09","10h 8m"
"X2...87","ca/san-diego/KSAN","2020-12-02","79","46","61.36","0.00","31.8","50","21","31.8","8","10","30.1","10h 8m"
"X2...88","ca/san-diego/KSAN","2020-12-03","71","48","58.63","0.00","28.71","47","15","28.71","12","10","30.21","10h 7m"
"X2...89","ca/san-diego/KSAN","2020-12-04","70","44","55.88","0.00","31.96","51","18","31.96","8","10","30.2","10h 6m"
"X2...90","ca/san-diego/KSAN","2020-12-05","70","43","55","0.00","30.58","42","17","30.58","7","10","30.27","10h 5m"
"X2...91","ca/san-diego/KSAN","2020-12-06","69","44","54.92","0.00","34.69","50","20","34.69","12","10","30.22","10h 4m"
"X2...92","ca/san-diego/KSAN","2020-12-07","65","45","56.65","0.00","41.43","52","31","41.43","5","10","30.03","10h 4m"
"X2...93","ca/san-diego/KSAN","2020-12-08","79","54","64.35","0.00","39.92","53","21","39.92","12","10","30.08","10h 3m"
"X2...94","ca/san-diego/KSAN","2020-12-09","72","50","59","0.00","43.35","54","27","43.35","8","10","30.07","10h 2m"
"X2...95","ca/san-diego/KSAN","2020-12-10","63","51","58.53","0.00","45.5","49","40","45.5","9","10","30.11","10h 2m"
"X2...96","ca/san-diego/KSAN","2020-12-11","64","49","57.5","0.00","45.27","47","42","45.27","12","10","30.14","10h 1m"
"X2...97","ca/san-diego/KSAN","2020-12-12","63","50","56.13","0.00","47.27","54","44","47.27","6","10","30.15","10h 1m"
"X2...98","ca/san-diego/KSAN","2020-12-13","69","47","57.42","0.00","42.71","48","29","42.71","10","10","30.24","10h 1m"
"X2...99","ca/san-diego/KSAN","2020-12-14","64","51","56.68","0.00","47.85","53","42","47.85","10","10","30.12","10h 0m"
"X2...100","ca/san-diego/KSAN","2020-12-15","68","49","57.24","0.03","44.32","54","34","44.32","9","10","30.21","10h 0m"
"X2...101","ca/san-diego/KSAN","2020-12-16","72","43","56.38","0.00","39.29","54","29","39.29","9","10","30.17","10h 0m"
"X2...102","ca/san-diego/KSAN","2021-10-27","78","54","65.21","0.00","49.67","54","45","49.67","10","10","30.16","11h 0m"
"X2...103","ca/san-diego/KSAN","2021-10-28","84","57","69.75","0.00","49.13","52","46","49.13","10","10","30.04","10h 58m"
"X2...104","ca/san-diego/KSAN","2021-10-29","78","59","67.55","0.00","56","62","47","56","9","10","29.94","10h 56m"
"X2...105","ca/san-diego/KSAN","2021-10-30","67","61","63.39","0.00","55.85","59","55","55.85","8","10","29.99","10h 54m"
"X2...106","ca/san-diego/KSAN","2021-10-31","69","62","64.81","0.00","54.59","55","54","54.59","8","10","30.05","10h 53m"
"X2...107","ca/san-diego/KSAN","2021-11-01","70","59","64.31","0.00","55.84","57","54","55.84","13","10","30.14","10h 51m"
"X2...108","ca/san-diego/KSAN","2021-11-02","68","60","64.13","0.00","55.23","57","54","55.23","10","10","30.18","10h 49m"
"X2...109","ca/san-diego/KSAN","2021-11-03","68","59","62.5","0.00","55.6","57","53","55.6","13","10","30.12","10h 47m"
"X2...110","ca/san-diego/KSAN","2021-11-04","67","59","62","0.00","55.62","57","54","55.62","10","6","30.04","10h 46m"
"X2...111","ca/san-diego/KSAN","2021-11-05","68","59","61.98","0.00","55.85","57","55","55.85","9","7","30.04","10h 44m"
"X2...112","ca/san-diego/KSAN","2021-11-06","68","61","63.26","0.00","54.94","56","54","54.94","10","10","30.07","10h 42m"
"X2...113","ca/san-diego/KSAN","2021-11-07","68","59","62.79","0.00","53.48","54","52","53.48","12","10","30.05","10h 41m"
"X2...114","ca/san-diego/KSAN","2021-11-08","67","59","63.06","0.00","53.61","55","52","53.61","9","10","30.16","10h 39m"
"X2...115","ca/san-diego/KSAN","2021-11-09","69","58","63.32","0.00","53.86","57","52","53.86","13","10","30.24","10h 37m"
"X2...116","ca/san-diego/KSAN","2021-11-10","69","61","65.15","0.00","55.92","58","54","55.92","13","10","30.17","10h 36m"
"X2...117","ca/san-diego/KSAN","2021-11-11","84","57","70.79","0.00","48.71","54","43","48.71","10","10","30.07","10h 34m"
"X2...118","ca/san-diego/KSAN","2021-11-12","90","58","72.96","0.00","43.75","54","38","43.75","8","10","30.06","10h 33m"
"X2...119","ca/san-diego/KSAN","2021-11-13","83","58","70.04","0.00","45.88","56","35","45.88","7","10","30.07","10h 31m"
"X2...120","ca/san-diego/KSAN","2021-11-14","85","56","68.92","0.00","44.46","57","37","44.46","8","10","30.08","10h 30m"
"X2...121","ca/san-diego/KSAN","2021-11-15","81","54","63.31","0.00","53.42","61","36","53.42","9","10","30.1","10h 28m"
"X2...122","ca/san-diego/KSAN","2021-11-16","65","56","60.23","0.00","54.38","57","52","54.38","10","10","30.07","10h 27m"
"X2...123","ca/san-diego/KSAN","2021-11-17","69","59","63.2","0.00","53.03","55","51","53.03","8","10","30.07","10h 25m"
"X2...124","ca/san-diego/KSAN","2021-11-18","66","56","60.91","0.00","53.67","56","50","53.67","12","9","30.12","10h 24m"
"X2...125","ca/san-diego/KSAN","2021-11-19","67","59","62.66","0.00","54.13","56","52","54.13","12","10","30.12","10h 22m"
"X2...126","ca/san-diego/KSAN","2021-11-20","66","61","62.56","0.00","53.19","55","52","53.19","10","10","30.09","10h 21m"
"X2...127","ca/san-diego/KSAN","2021-11-21","79","54","64.24","0.00","49.7","56","36","49.7","8","10","30.07","10h 20m"
"X2...128","ca/san-diego/KSAN","2021-11-22","96","57","67.58","0.00","36.71","54","29","36.71","8","10","30.06","10h 19m"
"X2...129","ca/san-diego/KSAN","2021-11-23","65","55","61.34","0.00","52.1","59","41","52.1","7","10","30","10h 17m"
"X2...130","ca/san-diego/KSAN","2021-11-24","67","53","60.52","0.00","52.52","55","48","52.52","8","10","30.16","10h 16m"
"X2...131","ca/san-diego/KSAN","2021-11-25","78","46","63","0.00","24.68","46","12","24.68","15","10","30.2","10h 15m"
"X2...132","ca/san-diego/KSAN","2021-11-26","78","49","60.75","0.00","32.75","46","22","32.75","12","10","30.14","10h 14m"
"X2...133","ca/san-diego/KSAN","2021-11-27","74","46","59.8","0.00","39.68","56","19","39.68","9","10","30.15","10h 13m"
"X2...134","ca/san-diego/KSAN","2021-11-28","76","47","58.76","0.00","45.28","59","31","45.28","10","10","30.16","10h 12m"
"X2...135","ca/san-diego/KSAN","2021-11-29","73","47","58.08","0.00","51.23","59","33","51.23","9","10","30.11","10h 11m"
"X2...136","ca/san-diego/KSAN","2021-11-30","65","54","56.73","0.00","53.56","56","51","53.56","9","9","30.06","10h 10m"
"X2...137","ca/san-diego/KSAN","2021-12-01","64","55","57.83","0.00","55.19","57","52","55.19","9","6","30.09","10h 9m"
"X2...138","ca/san-diego/KSAN","2021-12-02","63","57","58.7","0.00","53.52","56","52","53.52","8","10","30.14","10h 8m"
"X2...139","ca/san-diego/KSAN","2021-12-03","62","56","58.41","0.00","51.11","52","50","51.11","10","10","30.13","10h 7m"
"X2...140","ca/san-diego/KSAN","2021-12-04","63","56","58.79","0.00","51.29","52","50","51.29","12","10","30.17","10h 6m"
"X2...141","ca/san-diego/KSAN","2021-12-05","63","52","58.08","0.00","51.6","53","50","51.6","10","9","30.14","10h 5m"
"X2...142","ca/san-diego/KSAN","2021-12-06","61","47","55.56","0.00","51.62","54","45","51.62","12","10","30.11","10h 5m"
"X2...143","ca/san-diego/KSAN","2021-12-07","62","51","59.14","0.00","51.62","54","50","51.62","12","10","30.01","10h 4m"
"X2...144","ca/san-diego/KSAN","2021-12-08","70","49","56.86","0.00","52.25","58","48","52.25","9","10","30.06","10h 3m"
"X2...145","ca/san-diego/KSAN","2021-12-09","62","57","59","0.00","54.24","57","46","54.24","17","10","30","10h 3m"
"X2...146","ca/san-diego/KSAN","2021-12-10","61","49","54.62","0.11","46.73","49","44","46.73","6","10","30.16","10h 2m"
"X2...147","ca/san-diego/KSAN","2021-12-11","66","44","54.88","0.00","38.8","46","31","38.8","8","10","30.2","10h 2m"
"X2...148","ca/san-diego/KSAN","2021-12-12","63","43","53.29","0.00","41.63","49","34","41.63","10","10","30.07","10h 1m"
"X2...149","ca/san-diego/KSAN","2021-12-13","60","49","55.61","0.00","46.71","52","43","46.71","9","10","30.15","10h 1m"
"X2...150","ca/san-diego/KSAN","2021-12-14","60","53","57.7","0.00","52.92","59","39","52.92","30","10","30.16","10h 0m"
"X2...151","ca/san-diego/KSAN","2021-12-15","57","46","51.92","0.98","39.25","42","36","39.25","9","10","30.26","10h 0m"
"X2...152","ca/san-diego/KSAN","2021-12-16","58","39","51.9","0.00","44.42","52","36","44.42","10","10","30.19","10h 0m"
"X2...153","ca/san-diego/KSAN","2022-10-27","70","60","64.58","0.00","53.91","55","52","53.91","8","10","30.06","11h 0m"
"X2...154","ca/san-diego/KSAN","2022-10-28","71","56","63.79","0.00","55.75","59","52","55.75","12","10","30.16","10h 58m"
"X2...155","ca/san-diego/KSAN","2022-10-29","72","57","63.83","0.00","56.31","59","53","56.31","13","10","30.12","10h 57m"
"X2...156","ca/san-diego/KSAN","2022-10-30","75","55","64.42","0.00","55.42","61","50","55.42","9","10","30.02","10h 55m"
"X2...157","ca/san-diego/KSAN","2022-10-31","77","55","64.29","0.00","54.61","62","41","54.61","12","10","29.94","10h 53m"
"X2...158","ca/san-diego/KSAN","2022-11-01","69","63","65.5","0.00","55.97","62","48","55.97","10","10","30.02","10h 51m"
"X2...159","ca/san-diego/KSAN","2022-11-02","66","60","62.44","0.00","52.36","59","46","52.36","16","10","30.07","10h 50m"
"X2...160","ca/san-diego/KSAN","2022-11-03","64","54","60.17","0.07","41.88","48","38","41.88","22","10","30.18","10h 48m"
"X2...161","ca/san-diego/KSAN","2022-11-04","68","48","58.17","0.00","40.46","49","30","40.46","10","10","30.29","10h 46m"
"X2...162","ca/san-diego/KSAN","2022-11-05","70","50","59.29","0.00","42.21","50","31","42.21","8","10","30.16","10h 44m"
"X2...163","ca/san-diego/KSAN","2022-11-06","66","51","60.04","0.00","50.85","55","44","50.85","8","10","29.96","10h 43m"
"X2...164","ca/san-diego/KSAN","2022-11-07","67","60","63.23","0.00","57.39","60","54","57.39","10","10","30.02","10h 41m"
"X2...165","ca/san-diego/KSAN","2022-11-08","67","56","62.14","0.10","58.21","61","53","58.21","25","10","29.96","10h 39m"
"X2...166","ca/san-diego/KSAN","2022-11-09","63","52","58.43","0.85","48.97","54","45","48.97","17","10","30.15","10h 38m"
"X2...167","ca/san-diego/KSAN","2022-11-10","65","46","55.71","0.05","44.42","47","41","44.42","10","10","30.14","10h 36m"
"X2...168","ca/san-diego/KSAN","2022-11-11","68","45","56.21","0.00","40.75","46","32","40.75","12","10","30.09","10h 35m"
"X2...169","ca/san-diego/KSAN","2022-11-12","66","45","56.33","0.00","42.29","50","29","42.29","10","10","30.08","10h 33m"
"X2...170","ca/san-diego/KSAN","2022-11-13","64","51","56.25","0.00","45.25","47","43","45.25","10","10","30.09","10h 31m"
"X2...171","ca/san-diego/KSAN","2022-11-14","68","48","57.75","0.00","43.21","48","34","43.21","10","10","30.13","10h 30m"
"X2...172","ca/san-diego/KSAN","2022-11-15","68","47","57","0.00","43.63","52","28","43.63","9","10","30.15","10h 28m"
"X2...173","ca/san-diego/KSAN","2022-11-16","75","46","58.38","0.00","39.88","47","20","39.88","10","10","30.23","10h 27m"
"X2...174","ca/san-diego/KSAN","2022-11-17","70","43","57.71","0.00","36.79","50","18","36.79","10","10","30.2","10h 26m"
"X2...175","ca/san-diego/KSAN","2022-11-18","64","45","55.83","0.00","44.75","53","30","44.75","9","10","30.04","10h 24m"
"X2...176","ca/san-diego/KSAN","2022-11-19","72","48","56.05","0.00","44.16","51","26","44.16","9","10","30.11","10h 23m"
"X2...177","ca/san-diego/KSAN","2022-11-20","75","46","59.96","0.00","32.79","42","22","32.79","10","10","30.17","10h 21m"
"X2...178","ca/san-diego/KSAN","2022-11-21","75","47","59.04","0.00","34.96","46","25","34.96","9","10","30.12","10h 20m"
"X2...179","ca/san-diego/KSAN","2022-11-22","71","45","57.29","0.00","37.42","50","26","37.42","9","10","30.09","10h 19m"
"X2...180","ca/san-diego/KSAN","2022-11-23","70","44","55.71","0.00","38.25","51","21","38.25","9","10","30.08","10h 18m"
"X2...181","ca/san-diego/KSAN","2022-11-24","81","46","62.96","0.00","24.46","38","10","24.46","22","10","30.23","10h 16m"
"X2...182","ca/san-diego/KSAN","2022-11-25","73","48","59.75","0.00","32.54","45","20","32.54","10","10","30.26","10h 15m"
"X2...183","ca/san-diego/KSAN","2022-11-26","66","45","57.38","0.00","42.75","55","27","42.75","10","10","30.16","10h 14m"
"X2...184","ca/san-diego/KSAN","2022-11-27","66","45","57.45","0.00","49.17","54","39","49.17","8","10","30.09","10h 13m"
"X2...185","ca/san-diego/KSAN","2022-11-28","63","56","59.03","0.00","49.42","53","46","49.42","12","10","30","10h 12m"
"X2...186","ca/san-diego/KSAN","2022-11-29","63","52","59.12","0.00","49.12","52","46","49.12","12","10","30.02","10h 11m"
"X2...187","ca/san-diego/KSAN","2022-11-30","60","49","55.88","0.00","44.81","47","43","44.81","8","10","30.05","10h 10m"
"X2...188","ca/san-diego/KSAN","2022-12-01","61","57","59.13","0.00","43.21","45","39","43.21","8","10","30.1","10h 9m"
"X2...189","ca/san-diego/KSAN","2022-12-02","68","52","59.42","0.00","46.38","52","42","46.38","12","10","30.15","10h 8m"
"X2...190","ca/san-diego/KSAN","2022-12-03","66","51","57.44","0.00","51.37","56","47","51.37","9","10","30.12","10h 7m"
"X2...191","ca/san-diego/KSAN","2022-12-04","64","50","58.11","0.00","53.56","56","47","53.56","13","10","30.14","10h 6m"
"X2...192","ca/san-diego/KSAN","2022-12-05","65","55","59.76","0.00","52.45","58","47","52.45","13","10","30.08","10h 5m"
"X2...193","ca/san-diego/KSAN","2022-12-06","63","53","57.62","0.01","47.88","50","46","47.88","10","10","30.1","10h 5m"
"X2...194","ca/san-diego/KSAN","2022-12-07","62","50","55.81","0.00","45.85","47","44","45.85","13","10","30.28","10h 4m"
"X2...195","ca/san-diego/KSAN","2022-12-08","62","45","53.46","0.00","43.83","48","39","43.83","13","10","30.3","10h 3m"
"X2...196","ca/san-diego/KSAN","2022-12-09","61","44","52.46","0.00","43.88","48","39","43.88","10","10","30.19","10h 3m"
"X2...197","ca/san-diego/KSAN","2022-12-10","62","43","53.4","0.00","45.28","50","39","45.28","9","10","30.17","10h 2m"
"X2...198","ca/san-diego/KSAN","2022-12-11","59","51","55.56","0.00","48.11","54","42","48.11","21","10","30.07","10h 2m"
"X2...199","ca/san-diego/KSAN","2022-12-12","56","47","50.62","0.47","44.48","48","43","44.48","13","10","29.98","10h 1m"
"X2...200","ca/san-diego/KSAN","2022-12-13","59","43","51","0.45","41.71","44","37","41.71","7","10","30.15","10h 1m"
"X2...201","ca/san-diego/KSAN","2022-12-14","61","42","51.58","0.00","41.04","46","36","41.04","12","10","30.2","10h 0m"
"X2...202","ca/san-diego/KSAN","2022-12-15","61","43","52.71","0.00","44.38","50","38","44.38","8","10","30.16","10h 0m"
"X2...203","ca/san-diego/KSAN","2022-12-16","67","47","55.54","0.00","39.54","47","29","39.54","9","10","30.12","10h 0m"
"X2...204","ca/san-diego/KSAN","2023-10-27","70","60","64.19","0.00","57.33","59","56","57.33","9","10","30.03","11h 1m"
"X2...205","ca/san-diego/KSAN","2023-10-28","70","55","63.17","0.00","55.67","58","52","55.67","10","10","30.01","10h 59m"
"X2...206","ca/san-diego/KSAN","2023-10-29","77","54","65.25","0.00","46.17","57","27","46.17","9","10","30.04","10h 57m"
"X2...207","ca/san-diego/KSAN","2023-10-30","77","48","62.67","0.00","33.58","53","20","33.58","12","10","30.07","10h 55m"
"X2...208","ca/san-diego/KSAN","2023-10-31","80","48","63.79","0.00","29.42","39","18","29.42","9","10","30.06","10h 53m"
"X2...209","ca/san-diego/KSAN","2023-11-01","82","52","64.5","0.00","27.79","36","22","27.79","9","10","30.04","10h 52m"
"X2...210","ca/san-diego/KSAN","2023-11-02","80","51","64.29","0.00","37.25","53","28","37.25","12","10","30.07","10h 50m"
"X2...211","ca/san-diego/KSAN","2023-11-03","77","50","62.08","0.00","44.92","60","31","44.92","13","10","30.06","10h 48m"
"X2...212","ca/san-diego/KSAN","2023-11-04","75","50","61.92","0.00","47.72","58","37","47.72","12","10","30.05","10h 46m"
"X2...213","ca/san-diego/KSAN","2023-11-05","73","52","61.11","0.00","54.5","62","40","54.5","13","10","29.99","10h 45m"
